actual,predicted
12203.0,12222.145
11849.0,11868.86
11744.0,11750.77
11976.0,11951.02
12570.0,12618.29
14110.0,14098.12
15291.0,15248.855
15455.0,15408.16
15558.0,15538.59
15572.0,15581.96
15603.0,15589.36
15540.0,15555.11
15562.0,15517.4
15373.0,15417.115
15215.0,15207.71
15147.0,15179.445
15180.0,15164.645
15404.0,15358.445
16129.0,16008.435
15940.0,15993.585
15464.0,15464.98
14544.0,14525.825
13564.0,13550.56
12766.0,12742.855
12159.0,12231.755
11972.0,11940.89
11867.0,11864.52
12021.0,12023.13
12688.0,12724.9
14072.0,14072.39
15169.0,15146.17
15411.0,15356.59
15584.0,15538.19
15750.0,15696.245
15810.0,15775.125
15804.0,15806.09
15718.0,15749.335
15617.0,15591.045
15424.0,15430.8
15337.0,15349.435
15455.0,15388.095
15590.0,15539.32
15848.0,15784.375
15555.0,15626.6
15162.0,15193.035
14538.0,14522.565
13574.0,13590.985
12779.0,12769.72
12271.0,12306.94
12016.0,12003.805
11890.0,11898.13
11895.0,11924.155
12127.0,12124.035
12628.0,12608.76
13377.0,13287.61
14062.0,14029.415
14577.0,14575.89
14755.0,14759.82
14701.0,14822.345
14400.0,14506.815
14155.0,14185.17
14007.0,13976.595
13822.0,13823.705
13739.0,13786.76
13845.0,13847.24
14123.0,14064.52
14793.0,14649.755
14699.0,14675.03
14375.0,14368.11
13855.0,13797.92
13109.0,13104.955
12400.0,12366.395
12098.0,12085.885
11976.0,11947.25
11896.0,11902.54
11938.0,11976.39
12152.0,12159.11
12505.0,12502.775
13089.0,13061.035
13682.0,13657.535
13947.0,13920.195
13747.0,13825.5
13492.0,13587.375
13395.0,13385.32
13124.0,13171.255
12893.0,12918.165
12695.0,12725.605
12691.0,12703.81
12814.0,12825.12
13336.0,13250.595
14425.0,14313.225
14688.0,14646.86
14372.0,14438.46
13900.0,13815.26
13241.0,13280.825
12830.0,12747.79
12584.0,12571.54
12576.0,12544.635
12655.0,12654.59
12942.0,12933.035
13815.0,13825.745
15509.0,15462.395
16596.0,16524.68
16756.0,16675.145
16831.0,16796.7
16794.0,16792.725
16729.0,16718.745
16654.0,16660.59
16589.0,16586.74
16408.0,16394.32
16246.0,16211.805
16279.0,16297.755
16469.0,16441.555
16745.0,16794.96
17003.0,17005.825
16698.0,16777.07
16115.0,16139.675
15152.0,15152.51
14044.0,14125.72
13133.0,13136.96
12687.0,12633.945
12414.0,12430.965
12456.0,12398.715
12469.0,12542.82
13163.0,13157.645
14579.0,14600.615
15658.0,15619.295
15765.0,15765.825
15761.0,15799.625
15897.0,15857.84
15883.0,15852.72
15817.0,15876.27
15855.0,15806.38
15593.0,15674.0
15353.0,15364.16
15425.0,15397.34
15354.0,15434.15
15596.0,15598.9
16161.0,16028.0
16005.0,16065.49
15622.0,15598.625
14685.0,14702.85
13664.0,13687.895
12799.0,12829.05
12321.0,12344.475
12096.0,12095.045
11896.0,11941.56
12017.0,12049.485
12693.0,12726.215
14110.0,14119.865
15276.0,15247.89
15406.0,15400.09
15466.0,15479.785
15482.0,15523.74
15509.0,15501.54
15497.0,15492.93
15475.0,15463.28
15502.0,15451.17
15264.0,15318.405
15265.0,15270.97
15247.0,15274.13
15562.0,15488.92
16076.0,16044.87
15916.0,15960.96
15416.0,15424.08
14511.0,14490.96
13365.0,13417.98
12598.0,12566.91
12148.0,12130.82
11764.0,11799.46
11700.0,11690.175
11823.0,11831.89
12598.0,12564.435
14139.0,14140.98
15348.0,15311.06
15356.0,15347.63
15393.0,15395.355
15485.0,15494.935
15523.0,15515.865
15403.0,15447.465
15388.0,15364.695
15128.0,15202.45
15006.0,15008.02
14943.0,14951.78
14988.0,15001.815
15340.0,15228.305
15921.0,15810.79
15886.0,15903.575
15386.0,15382.65
14437.0,14432.145
13446.0,13433.305
12627.0,12667.905
12233.0,12236.265
11969.0,11976.535
11913.0,11870.09
12151.0,12127.17
12848.0,12865.73
14310.0,14320.155
15556.0,15444.195
15588.0,15557.48
15655.0,15619.86
15639.0,15642.645
15517.0,15553.27
15404.0,15414.05
15269.0,15307.26
15177.0,15166.455
14828.0,14899.9
14695.0,14743.725
14610.0,14633.825
14790.0,14759.02
15311.0,15248.85
15066.0,15146.58
14755.0,14710.025
14110.0,14105.345
13264.0,13233.775
12363.0,12411.35
