actual,predicted
15723.0,15724.37
15698.0,15702.865
15628.0,15635.515
15385.0,15423.63
15254.0,15227.07
15407.0,15443.305
16019.0,16035.225
16574.0,16455.245
16402.0,16412.655
16099.0,16134.5
15616.0,15601.355
14532.0,14585.875
13253.0,13380.28
12892.0,12770.165
12382.0,12431.995
12367.0,12292.53
12357.0,12357.105
12521.0,12558.285
13426.0,13393.805
15050.0,14976.955
15857.0,15832.635
15857.0,15913.4
16055.0,15996.605
16113.0,16107.925
16065.0,16081.425
16000.0,15950.15
15881.0,15873.91
15703.0,15722.46
15664.0,15620.58
15835.0,15858.185
16471.0,16371.055
16796.0,16805.72
16693.0,16699.715
16369.0,16404.42
15890.0,15917.465
14952.0,14967.085
14038.0,14030.55
13305.0,13335.88
12993.0,12949.995
12756.0,12761.495
12824.0,12759.235
13119.0,13099.525
14071.0,14001.425
15761.0,15711.63
16274.0,16337.945
15996.0,16079.015
15962.0,15996.285
15768.0,15799.995
15606.0,15580.665
15519.0,15497.35
15316.0,15306.395
14723.0,14856.905
15201.0,14931.38
14895.0,15098.485
15547.0,15529.38
16177.0,16088.23
16039.0,16045.13
15890.0,15898.065
15669.0,15606.08
14964.0,14995.73
14141.0,14130.75
13503.0,13527.145
13159.0,13148.605
12988.0,12992.41
12987.0,12962.535
13076.0,13118.34
13487.0,13441.335
14160.0,14129.265
14635.0,14677.11
15098.0,15092.935
15074.0,15111.91
14809.0,14869.26
14447.0,14464.89
14083.0,14074.445
13759.0,13766.42
13380.0,13409.91
13214.0,13213.165
13254.0,13250.905
14047.0,14062.93
14579.0,14518.22
14053.0,14293.89
14299.0,14243.995
13974.0,14005.305
13420.0,13425.36
12804.0,12807.085
12252.0,12249.105
11879.0,11905.485
11706.0,11714.075
11707.0,11697.66
11789.0,11794.45
12007.0,12041.41
12452.0,12430.705
12903.0,12922.58
13398.0,13349.8
13408.0,13487.435
13155.0,13304.135
13042.0,13040.29
13009.0,12972.905
12867.0,12874.775
12629.0,12702.775
12620.0,12617.99
12849.0,12808.225
13733.0,13694.02
14397.0,14319.015
14525.0,14509.905
